Order ID,Customer ID,Customer_Age,City,Restaurant_Category,Order_Value,Delivery_Time,Payment_Method,Order_Date,Customer_Rating
ORD068,1028,28,Kannur,Fast Food,890.0,36.0,COD,2026-03-27,4.0
ORD069,1029,40,Thrissur,Chinese,1150.0,43.0,UPI,2026-03-28,3.5
ORD070,1030,26,Kollam,Desserts,570.0,31.0,CASH,2026-03-29,4.5
ORD071,1031,33,Trivandrum,Biryani,2150.0,55.0,UPI,2026-03-30,3.0
ORD072,1032,22,Kochi,Indian,1270.0,41.0,UPI,2026-04-01,4.0
ORD073,1033,46,Calicut,Fast Food,950.0,34.0,CASH,2026-04-02,4.0
ORD074,1034,27,Kannur,Cafe,500.0,22.0,CARD,2026-04-03,5.0
ORD075,1035,35,Thrissur,Indian,1400.0,44.0,UPI,2026-04-04,4.0
ORD076,1036,30,Kollam,Biryani,2020.0,53.0,COD,2026-04-05,3.5
ORD077,1037,41,Trivandrum,Chinese,1000.0,32.0,UPI,2026-04-07,4.5
ORD078,1038,25,Kochi,Desserts,670.0,27.0,CASH,2026-04-08,5.0
ORD079,1039,38,Calicut,Fast Food,880.0,36.0,CARD,2026-04-09,4.0
ORD080,1040,29,Kannur,Indian,1160.0,40.0,UPI,2026-04-10,4.0
ORD081,1001,24,Kochi,Biryani,1650.0,49.0,CASH,2026-04-11,3.5
ORD082,1002,31,Calicut,Cafe,650.0,26.0,UPI,2026-04-12,4.5
ORD083,1003,28,Kannur,Fast Food,900.0,33.0,CARD,2026-04-14,4.0
ORD084,1004,35,Thrissur,Chinese,1050.0,39.0,COD,2026-04-15,4.0
ORD085,1005,22,Kochi,Indian,1360.0,42.0,UPI,2026-04-16,3.5
ORD086,1006,41,Kollam,Biryani,2300.0,56.0,CASH,2026-04-17,3.0
ORD087,1007,29,Trivandrum,Desserts,710.0,31.0,CARD,2026-04-18,4.5
ORD088,1008,33,Kochi,Fast Food,1000.0,35.0,UPI,2026-04-19,4.0
ORD089,1009,26,Calicut,Indian,1520.0,43.0,CASH,2026-04-20,3.5
ORD090,1010,38,Kannur,Cafe,560.0,25.0,CARD,2026-04-21,5.0
ORD091,1011,21,Thrissur,Biryani,1820.0,37.0,UPI,2026-04-22,4.0
ORD092,1012,45,Kollam,Chinese,960.0,32.0,COD,2026-04-23,4.0
ORD093,1013,27,Trivandrum,Indian,1310.0,41.0,UPI,2026-04-24,3.5
ORD094,1014,36,Kochi,Desserts,620.0,28.0,CASH,2026-04-25,4.5
ORD095,1015,30,Calicut,Fast Food,840.0,34.0,CARD,2026-04-26,4.0
ORD096,1016,23,Kannur,Biryani,2010.0,52.0,UPI,2026-04-27,3.0
ORD097,1017,39,Thrissur,Indian,1460.0,44.0,CASH,2026-04-28,4.0
ORD098,1018,25,Kollam,Cafe,530.0,23.0,CARD,2026-04-29,5.0
ORD099,1019,32,Trivandrum,Fast Food,940.0,37.0,UPI,2026-04-30,4.5
ORD100,1020,47,Calicut,Biryani,2380.0,59.0,COD,2026-05-01,3.0
